Anzahl Accounts,Anzahl Payments in Historie, Zeit zum hashen

10,10,0.089 Sekunden
10,20,0.167 Sekunden
10,30,0.079 Sekunden
10,40,0.091 Sekunden
20,60,0.16 Sekunden
20,80,0.163 Sekunden
20,100,0.171 Sekunden
20,120,0.19 Sekunden
30,150,0.979 Sekunden
19,169,0.376 Sekunden
30,199,0.325 Sekunden
30,229,0.292 Sekunden
0,0,0.003 Sekunden
0,0,0.01 Sekunden
0,0,0.007 Sekunden
10,10,0.043 Sekunden
10,10,0.045 Sekunden
10,20,0.039 Sekunden
10,30,0.043 Sekunden
10,40,0.053 Sekunden
10,50,0.045 Sekunden
10,60,0.046 Sekunden
15,75,0.082 Sekunden
10,10,0.036 Sekunden
10,20,0.048 Sekunden
10,30,0.044 Sekunden
10,40,0.042 Sekunden
10,10,0.042 Sekunden
10,10,0.04 Sekunden
10,20,0.032 Sekunden
10,30,0.044 Sekunden
10,40,0.046 Sekunden
20,60,0.11 Sekunden
20,80,0.077 Sekunden
20,100,0.081 Sekunden
15,115,0.077 Sekunden
25,140,0.138 Sekunden
24,164,0.106 Sekunden
15,179,0.097 Sekunden
15,194,0.139 Sekunden
25,219,0.144 Sekunden
15,30,0.065 Sekunden
20,50,0.066 Sekunden
20,70,0.077 Sekunden
30,100,0.248 Sekunden
35,135,0.639 Sekunden
30,165,0.171 Sekunden
34,204,0.248 Sekunden
40,250,0.236 Sekunden
40,290,0.276 Sekunden
38,328,0.501 Sekunden
21,349,0.194 Sekunden
16,365,0.475 Sekunden
9,374,0.612 Sekunden
11,16,0.034 Sekunden
6,22,0.026 Sekunden
4,26,0.032 Sekunden
4,30,0.031 Sekunden
