Anzahl Raiden Clients, durchschnittliche Zeit des Sendens der Nachricht

10,1.5050999999999999 Sekunden
10,1.6360999999999999 Sekunden
10,1.3725999999999998 Sekunden
10,2.0884 Sekunden
20,3.50415 Sekunden
20,2.91515 Sekunden
20,4.18065 Sekunden
20,2.3552 Sekunden
30,7.991833333333333 Sekunden
19,3.3823684210526315 Sekunden
30,4.028733333333333 Sekunden
30,7.151333333333333 Sekunden
0,NaN Sekunden
10,1.3977 Sekunden
10,0.9895 Sekunden
10,1.3336 Sekunden
10,1.0305 Sekunden
10,1.4185 Sekunden
10,0.8526 Sekunden
10,0.9132 Sekunden
15,1.8583333333333332 Sekunden
10,1.2542 Sekunden
10,1.0767 Sekunden
10,1.2579 Sekunden
10,1.2539 Sekunden
10,1.5030999999999999 Sekunden
10,1.303 Sekunden
10,1.6673 Sekunden
10,1.3032000000000001 Sekunden
10,1.6524 Sekunden
20,2.2931999999999997 Sekunden
20,2.277 Sekunden
19,1.7911052631578948 Sekunden
15,2.027 Sekunden
25,5.55076 Sekunden
24,2.9290833333333337 Sekunden
15,2.085 Sekunden
15,3.1765333333333334 Sekunden
25,5.4664399999999995 Sekunden
15,4.5748 Sekunden
20,8.0143 Sekunden
20,7.7455 Sekunden
30,9.5845 Sekunden
35,10.199685714285714 Sekunden
30,15.963566666666667 Sekunden
34,12.341323529411763 Sekunden
40,18.9495 Sekunden
40,15.062775 Sekunden
37,11.876351351351351 Sekunden
21,8.972619047619048 Sekunden
16,5.75575 Sekunden
9,2.6893333333333334 Sekunden
11,3.537818181818182 Sekunden
6,3.9963333333333333 Sekunden
4,2.60125 Sekunden
4,2.53475 Sekunden
